brood_year,year,tag_code,tag_other,species,trap_date,sex,origin,fork_length,age,final_age,ad_clip,cwt
BY11,2011,3D9.1C2D8F6EA6,NA,ST,2010-07-06T00:00:00Z,F,H,75,1.2,4,AD,NA
BY11,2011,3D9.1C2D8F4343,NA,ST,2010-07-06T00:00:00Z,M,H,68,1.2,4,AD,NA
BY11,2011,3D9.1C2D8E088C,NA,ST,2010-07-06T00:00:00Z,M,H,74,1.2,4,AD,NA
BY11,2011,3D9.1C2D8DFF75,NA,ST,2010-07-06T00:00:00Z,F,H,69,1.2,4,NA,NA
BY11,2011,3D9.1C2D8F4376,NA,ST,2010-07-06T00:00:00Z,F,H,72,1.2,4,AD,NA
BY11,2011,3D9.1C2D8F7A9D,NA,ST,2010-07-06T00:00:00Z,M,H,68,1.2,4,NA,SN
BY11,2011,3D9.1C2D8E01F8,NA,ST,2010-07-06T00:00:00Z,M,H,77,1.2,4,NA,NA
BY11,2011,3D9.1C2D8E6650,NA,ST,2010-07-06T00:00:00Z,F,H,77,1.2,4,AD,NA
BY11,2011,3D9.1C2D8F4369,NA,ST,2010-07-06T00:00:00Z,M,H,56,1.1,3,AD,NA
BY11,2011,3D9.1C2D8E6F4D,NA,ST,2010-07-06T00:00:00Z,F,H,71,1.2,4,AD,NA
BY11,2011,3D9.1C2D8F4AD4,NA,ST,2010-07-06T00:00:00Z,F,H,72,1.2,4,AD,NA
BY11,2011,3D9.1C2D8E3E0F,NA,ST,2010-07-06T00:00:00Z,F,H,69,1.2,4,AD,NA
BY11,2011,3D9.1C2D8D085C,NA,ST,2010-07-06T00:00:00Z,F,H,73,1.2,4,AD,NA
BY11,2011,3D9.1C2D8F434D,NA,ST,2010-07-06T00:00:00Z,F,H,77,1.2,4,AD,NA
BY11,2011,3D9.1C2D8F4204,NA,ST,2010-07-06T00:00:00Z,F,W,67,1.2,4,NA,NA
BY11,2011,3D9.1C2D8FB0FF,NA,ST,2010-07-06T00:00:00Z,M,W,75,2.2,5,NA,NA
BY11,2011,3D9.1C2D8DF56A,NA,ST,2010-07-06T00:00:00Z,F,W,68,2.2,5,NA,NA
BY11,2011,3D9.1C2D8E6398,NA,ST,2010-07-06T00:00:00Z,F,W,70,2.2,5,NA,NA
BY11,2011,3D9.1C2D8E2D64,NA,ST,2010-07-06T00:00:00Z,F,W,76,2.2,5,NA,NA
BY11,2011,3D9.1C2D8E696A,NA,ST,2010-07-06T00:00:00Z,F,W,70,2.2,5,NA,NA
BY11,2011,3D9.1C2D8F38C4,NA,ST,2010-07-06T00:00:00Z,M,W,76,2.2,5,NA,NA
BY11,2011,3D9.1C2D8F49D8,NA,ST,2010-07-06T00:00:00Z,M,W,73,1.2,4,NA,NA
BY11,2011,3D9.1C2D8F599F,NA,ST,2010-07-08T00:00:00Z,F,H,71,1.2,4,AD,SN
BY11,2011,3D9.1C2D8F7A73,NA,ST,2010-07-08T00:00:00Z,F,H,75,1.2,4,AD,NA
BY11,2011,3D9.1C2D8E23CA,NA,ST,2010-07-08T00:00:00Z,M,H,67,R.2,NA,AD,NA
BY11,2011,3D9.1C2D8F43A8,NA,ST,2010-07-08T00:00:00Z,M,H,74,1.2,4,AD,SN
BY11,2011,3D9.1C2D8CFBDE,NA,ST,2010-07-08T00:00:00Z,F,H,64,1.2,4,AD,NA
BY11,2011,3D9.1C2D8F3301,NA,ST,2010-07-08T00:00:00Z,M,H,76,1.2,4,AD,NA
BY11,2011,3D9.1C2D8D1CB5,NA,ST,2010-07-08T00:00:00Z,F,H,76,1.2,4,AD,SN
