site_code,node,site_name,site_type
AEN,AEN,Aeneas Creek Temporary Array,INT
ANT,ANTA0,Antoine Creek Instream Array,INT
ANT,ANTB0,Antoine Creek Instream Array,INT
BPC,BPCA0,Bonaparte Creek Instream Array,INT
BPC,BPCB0,Bonaparte Creek Instream Array,INT
BVC,BVCA0,"Beaver Creek, Methow River",INT
BVC,BVCB0,"Beaver Creek, Methow River",INT
CHIWAR,CHLA0,Chiwawa River,MRR
CHL,CHLA0,Lower Chiwawa River,INT
CHP,CHLA0,Chiwawa Acc. Pond,INT
CHL,CHLB0,Lower Chiwawa River,INT
CHM,CHMA0,Chumstick Creek,INT
CHM,CHMB0,Chumstick Creek,INT
CHIKAC,CHUA0,"Chikamin Creek, tributary to Chiwawa River",MRR
CHU,CHUA0,Upper Chiwawa River,INT
CHU,CHUB0,Upper Chiwawa River,INT
CHIWAC,CHWA0,"Chiwaukum Creek, tributary to Wenatchee River",MRR
CHW,CHWA0,Chiwaukum Creek,INT
CHW,CHWB0,Chiwaukum Creek,INT
CLK,CLK,Colockum Creek,INT
CRU,CRUA0,Upper Chewuch Instream Array,INT
CRU,CRUB0,Upper Chewuch Instream Array,INT
CRW,CRWA0,Chewuch River above Winthrop,INT
CRW,CRWB0,Chewuch River above Winthrop,INT
EBO,EBOB0,East Bank Hatchery Outfall,INT
EHL,EHLA0,Entiat NFH Adult Ladder,INT
EHL,EHLB0,Entiat NFH Adult Ladder,INT
ENA,ENAA0,Upper Entiat River at rkm 17.1,INT
ENM,ENAA0,Middle Entiat River,INT
ENS,ENAA0,Upper Entiat River at rkm 35.7,INT
ENA,ENAB0,Upper Entiat River at rkm 17.1,INT
ENF,ENFA0,Upper Entiat River at rkm 40.6,INT
ENF,ENFB0,Upper Entiat River at rkm 40.6,INT
ENL,ENLA0,Lower Entiat River,INT
ENL,ENLB0,Lower Entiat River,INT
FST,FST,Foster Creek,INT
GLC,GLCA0,"Gold Creek, Methow River",INT
GLC,GLCB0,"Gold Creek, Methow River",INT
HST,HSTB0,Touchet River at Harvey Shaw,INT
ICH,ICHB0,Ice Harbor Dam (Combined),INT
ICL,ICLA0,Lower Icicle Instream Array,INT
ICL,ICLB0,Lower Icicle Instream Array,INT
ICM,ICMA0,Middle Icicle Instream Array,INT
ICM,ICMB0,Middle Icicle Instream Array,INT
ICU,ICUA0,Upper Icicle Instream Array,INT
ICU,ICUB0,Upper Icicle Instream Array,INT
JD1,JD1B0,"John Day River, McDonald Ferry",INT
158,JDA,Fifteenmile Ck at Eightmile Ck,INT
15D,JDA,Fifteenmile Ck at Dry Ck,INT
15MILC,JDA,"Fifteen Mile Creek, near The Dalles, Oregon",MRR
15R,JDA,Fifteenmile Ck at Ramsey Ck,INT
3MIL2C,JDA,"Threemile Creek, The Dalles",MRR
85M,JDA,Eightmile Ck at Fivemile Ck,INT
AB1,JDA,Abernathy Creek FWS Tech Cntr.,INT
AB2,JDA,Abernathy Creek Farmers Bridge,INT
AB3,JDA,Lower Abernathy Creek,INT
AB4,JDA,Abernathy Creek Hatch Channel,INT
ABEH,JDA,Abernathy SCTC,MRR
ABERC,JDA,"Abernathy Creek, Lower Columbia River, Washington",MRR
ANTELC,JDA,Antelope Creek - tributary to Trout Creek (TROU2C) in the Deschutes River basin,MRR
ASMEBR,JDA,Astoria-Megler Bridge ,MRR
B1J,JDA,BONNEVILLE PH1 JUVENILE,INT
B2A,JDA,BONNEVILLE ADULT WA SHORE,INT
B2J,JDA,Bonneville PH2 Juvenile,INT
BAD,JDA,Barrier Dam,MRR
BAKEOC,JDA,"Bakeoven Creek, Deschutes River Basin",MRR
BCC,JDA,BON PH2 Corner Collector,INT
BCHINL,JDA,Lake Billy Chinook,MRR
BCL,JDA,Big Cliff Dam - North Santiam River,MRR
BCLFBY,JDA,BCL - Release into the Forebay within 0.5 km upstream of Dam,MRR
BCLTAL,JDA,BCL - Release into the Tailrace within 0.5 km downstream of Dam,MRR
BEAR3C,JDA,"Bear Creek, Columbia River Estuary, Oregon",MRR
BERRYC,JDA,Berry Creek - Clackamas Subbasin,MRR
BHL,JDA,Adult Fishway at BONH,INT
BIG1C,JDA,"Big Creek, lower Columbia River near Knappa, OR",MRR
BIGC,JDA,Big Creek Hatchery (ODFW) near Knappa,MRR
BIGWSP,JDA,Big White Salmon Ponds,MRR
BLKBAS,JDA,"Blackberry Acc. Site, WF Hood River",MRR
BLNDSL,JDA,Blind Slough Net Pens (Oregon side of Columbia River Estuary),MRR
BLUEC,JDA,"Blue Creek, Klickitat River Basin",MRR
BO1,JDA,Bonneville Bradford Is. Ladder,INT
BO1BYP,JDA,BON - Release into PH1 Juvenile Facility Bypass Flume/Pipe,MRR
BO1GWL,JDA,BON - Release into PH1 Gatewell(s),MRR
BO2,JDA,Bonneville Cascades Is. Ladder,INT
BO2BCC,JDA,BON - Release into the PH2 Bypass Corner Collector,MRR
BO2BYP,JDA,BON - Release into the PH2 Juvenile Facility Bypass Flume/Pipe,MRR
BO2GAT,JDA,BON - Release into the PH2 Juvenile Facility Flume between the Separator Exit and the Primary PIT-Tag Diversion Gate,MRR
BO2GWL,JDA,BON - Release into PH2 Gatewell(s),MRR
BO2ORI,JDA,BON - Release into PH2 Orifice(s),MRR
BO2RRR,JDA,BON - Release below the PH2 Juvenile Facility PIT-Tag Diversion System Gate with subsequent Return to the River,MRR
BO3,JDA,Bonneville WA Shore Ladder/AFF,INT
BO4,JDA,Bonneville WA Ladder Slots,INT
BON,JDA,Bonneville Dam Complex,MRR
BONAFF,JDA,BON - Adult Fish Facility,MRR
BONH,JDA,Bonneville Hatchery,MRR
BONLD1,JDA,BON - Release into the Bradford Island Adult Fish Ladder,MRR
BONLD2,JDA,BON - Release into the Cascades Island Adult Fish Ladder,MRR
BONLD3,JDA,BON - Release into the Washington Shore Adult Fish Ladder,MRR
BONMRT,JDA,BON - Mortality Recovery,MRR
BOWMNC,JDA,"Bowman Creek, tributary to Little Klickitat River",MRR
BREITR,JDA,"Breitenbush River, North Santiam River Basin",MRR
BRUS2C,JDA,"Brush Creek, Klickitat River Basin",MRR
BUCK3C,JDA,"Buck Creek, White Salmon River Basin (WA)",MRR
