Record#,PIT Tag,SRR Verbose,SRR Code,Event Type,Length,Weight,Conditional Comments,Text Comments,Event Date,Event Site,Life Stage,Brood Year,Migration Year,Spawn Year,Release Site,RKM Mask,RKM Ext,Release Temp,Release Date,Tagger,Organization,Capture Method,Mark Method,Mark Temp,Hold Temp,Raceway/Transect/Tank,Hatchery,Stock,Latitude,Longitude,Lat/Long Source,CWT-S,Second PIT Tag,Scale ID,Adipose Clip,Fin Clip,CWT-BODY,Release Status,Sex (field),Sex (final),Sex Source,Capture Status,Snubbed Dorsal,Injury,Tally Count,Scale Age,Scale Origin,Final Origin,Field Origin,Origin Source
1,3DD.003DA2894E,Hat. Summer Steelhead,32H,Mark,610,NA,AD MA RF,NA,7/2/2021 7:02,PRDLD1,Adult,NA,2021,NA,PRDLD1,639,NA,20,7/2/2021 7:02,ECKENBERG J,CPUD,LADDER,HAND,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,1-Jan,X,NA,NA,Passed,Male,NA,NA,Maiden,X,NA,NA,1.2,H,H,H,NA
2,3DD.003DA28942,Hat. Summer Steelhead,32H,Mark,630,NA,AD FE RF,NA,7/6/2021 8:06,PRDLD1,Adult,NA,2021,NA,PRDLD1,639,NA,20,7/6/2021 8:06,ECKENBERG J,CPUD,LADDER,HAND,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,2-Feb,X,NA,NA,Passed,Female,NA,NA,Maiden,X,NA,NA,R.2,H,H,H,NA
3,3DD.003DA28921,Hat. Summer Steelhead,32H,Mark,640,NA,AD FE RF,NA,7/6/2021 8:08,PRDLD1,Adult,NA,2021,NA,PRDLD1,639,NA,20,7/6/2021 8:08,ECKENBERG J,CPUD,LADDER,HAND,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,1-Feb,X,NA,NA,Passed,Female,NA,NA,Maiden,X,NA,NA,R.2,H,H,H,NA
4,3DD.003DA28963,Wild Summer Steelhead,32W,Mark,610,NA,AI FE RF,NA,7/6/2021 9:43,PRDLD1,Adult,NA,2021,NA,PRDLD1,639,NA,20,7/6/2021 9:43,ECKENBERG J,CPUD,LADDER,HAND,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,3-Feb,NA,NA,NA,Passed,Female,NA,NA,Maiden,NA,NA,NA,2.1,W,W,W,NA
5,3DD.003DA28965,Wild Summer Steelhead,32W,Mark,750,NA,AI FE RF,NA,7/6/2021 11:04,PRDLD1,Adult,NA,2021,NA,PRDLD1,639,NA,20,7/6/2021 11:04,ECKENBERG J,CPUD,LADDER,HAND,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,4-Feb,NA,NA,NA,Passed,Female,NA,NA,Maiden,NA,NA,NA,2.2,W,W,W,NA
6,3DD.003DA28920,Wild Summer Steelhead,32W,Mark,550,NA,AI FE RF,NA,7/6/2021 11:38,PRDLD1,Adult,NA,2021,NA,PRDLD1,639,NA,20,7/6/2021 11:38,ECKENBERG J,CPUD,LADDER,HAND,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,5-Feb,NA,NA,NA,Passed,Female,NA,NA,Maiden,NA,NA,NA,R.1,W,W,W,NA
7,3DD.003DA2892C,Wild Summer Steelhead,32W,Mark,610,NA,AI FE RF,NA,7/6/2021 12:29,PRDLD1,Adult,NA,2021,NA,PRDLD1,639,NA,20,7/6/2021 12:29,ECKENBERG J,CPUD,LADDER,HAND,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,6-Feb,NA,NA,NA,Passed,Female,NA,NA,Maiden,NA,NA,NA,2.1,W,W,W,NA
8,3DD.003DA28932,Wild Summer Steelhead,32W,Mark,710,NA,AI MA RF,NA,7/7/2021 6:35,PRDLD1,Adult,NA,2021,NA,PRDLD1,639,NA,20,7/7/2021 6:35,ECKENBERG J,CPUD,LADDER,HAND,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,1-Mar,NA,NA,NA,Passed,Male,NA,NA,Maiden,NA,NA,NA,2.2,W,W,W,NA
9,3DD.003DA28914,Wild Summer Steelhead,32W,Mark,690,NA,AI FE RF,NA,7/8/2021 6:31,PRDLD1,Adult,NA,2021,NA,PRDLD1,639,NA,20,7/8/2021 6:31,ECKENBERG J,CPUD,LADDER,HAND,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,1-Apr,NA,NA,NA,Passed,Female,NA,NA,Maiden,NA,NA,NA,R.2,W,W,W,NA
10,3DD.003DA2890E,Wild Summer Steelhead,32W,Mark,690,NA,AI MA RF,NA,7/8/2021 8:54,PRDLD1,Adult,NA,2021,NA,PRDLD1,639,NA,20,7/8/2021 8:54,ECKENBERG J,CPUD,LADDER,HAND,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,2-Apr,NA,NA,NA,Passed,Male,NA,NA,Maiden,NA,NA,NA,R.2,W,W,W,NA
11,3DD.003DA28961,Hat. Summer Steelhead,32H,Mark,700,NA,AD FE RF,NA,7/8/2021 9:47,PRDLD1,Adult,NA,2021,NA,PRDLD1,639,NA,20,7/8/2021 9:47,ECKENBERG J,CPUD,LADDER,HAND,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,3-Apr,X,NA,NA,Passed,Female,Female,Wells Broodstock,Maiden,X,NA,NA,1.2,H,H,H,NA
12,3DD.003DA28933,Hat. Summer Steelhead,32H,Mark,730,NA,AD FE RF,NA,7/8/2021 9:52,PRDLD1,Adult,NA,2021,NA,PRDLD1,639,NA,20,7/8/2021 9:52,ECKENBERG J,CPUD,LADDER,HAND,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,4-Apr,X,NA,NA,Passed,Female,NA,NA,Maiden,X,NA,NA,H2.2,H,H,H,NA
13,3DD.003DA2895B,Hat. Summer Steelhead,32H,Mark,700,NA,AD MA RF,NA,7/8/2021 11:41,PRDLD1,Adult,NA,2021,NA,PRDLD1,639,NA,20,7/8/2021 11:41,ECKENBERG J,CPUD,LADDER,HAND,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,5-Apr,X,NA,NA,Passed,Male,NA,NA,Maiden,X,NA,NA,1.2,H,H,H,NA
14,3DD.003DA28970,Hat. Summer Steelhead,32H,Mark,760,NA,AD FE RF,NA,7/8/2021 12:47,PRDLD1,Adult,NA,2021,NA,PRDLD1,639,NA,20,7/8/2021 12:47,ECKENBERG J,CPUD,LADDER,HAND,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,6-Apr,X,NA,NA,Passed,Female,Female,Wells Broodstock,Maiden,X,NA,NA,1.2,H,H,H,NA
