Record#,PIT Tag,SRR Verbose,SRR Code,Event Type,Length,Weight,Conditional Comments,Text Comments,Event Date,Event Site,Life Stage,Brood Year,Migration Year,Spawn Year,Release Site,RKM Mask,RKM Ext,Release Temp,Release Date,Tagger,Organization,Capture Method,Mark Method,Mark Temp,Hold Temp,Raceway/Transect/Tank,Hatchery,Stock,Latitude,Longitude,Lat/Long Source,CWT-S,Second PIT Tag,Scale ID,Adipose Clip,Fin Clip,CWT-BODY,Release Status,Sex,Capture Status,Snubbed Dorsal,Injury,Tally Count,Scale Age,Scale Origin ,Final Origin,Field Origin
1,3DD.003DA2894E,Hat. Summer Steelhead,32H,Mark,610,,AD MA RF,,7/2/2021 7:02,PRDLD1,Adult,,2021,,PRDLD1,639,,20,7/2/2021 7:02,ECKENBERG J,CPUD,LADDER,HAND,25,,,,,,,,,,1-Jan,X,,,Passed,Male,Maiden,X,,,1.2,H,H,H
2,3DD.003DA28942,Hat. Summer Steelhead,32H,Mark,630,,AD FE RF,,7/6/2021 8:06,PRDLD1,Adult,,2021,,PRDLD1,639,,20,7/6/2021 8:06,ECKENBERG J,CPUD,LADDER,HAND,25,,,,,,,,,,2-Feb,X,,,Passed,Female,Maiden,X,,,R.2,H,H,H
3,3DD.003DA28921,Hat. Summer Steelhead,32H,Mark,640,,AD FE RF,,7/6/2021 8:08,PRDLD1,Adult,,2021,,PRDLD1,639,,20,7/6/2021 8:08,ECKENBERG J,CPUD,LADDER,HAND,25,,,,,,,,,,1-Feb,X,,,Passed,Female,Maiden,X,,,R.2,H,H,H
4,3DD.003DA28963,Wild Summer Steelhead,32W,Mark,610,,AI FE RF,,7/6/2021 9:43,PRDLD1,Adult,,2021,,PRDLD1,639,,20,7/6/2021 9:43,ECKENBERG J,CPUD,LADDER,HAND,25,,,,,,,,,,3-Feb,,,,Passed,Female,Maiden,,,,2.1,W,W,W
5,3DD.003DA28965,Wild Summer Steelhead,32W,Mark,750,,AI FE RF,,7/6/2021 11:04,PRDLD1,Adult,,2021,,PRDLD1,639,,20,7/6/2021 11:04,ECKENBERG J,CPUD,LADDER,HAND,25,,,,,,,,,,4-Feb,,,,Passed,Female,Maiden,,,,2.2,W,W,W
6,3DD.003DA28920,Wild Summer Steelhead,32W,Mark,550,,AI FE RF,,7/6/2021 11:38,PRDLD1,Adult,,2021,,PRDLD1,639,,20,7/6/2021 11:38,ECKENBERG J,CPUD,LADDER,HAND,25,,,,,,,,,,5-Feb,,,,Passed,Female,Maiden,,,,R.1,W,W,W
7,3DD.003DA2892C,Wild Summer Steelhead,32W,Mark,610,,AI FE RF,,7/6/2021 12:29,PRDLD1,Adult,,2021,,PRDLD1,639,,20,7/6/2021 12:29,ECKENBERG J,CPUD,LADDER,HAND,25,,,,,,,,,,6-Feb,,,,Passed,Female,Maiden,,,,2.1,W,W,W
8,3DD.003DA28932,Wild Summer Steelhead,32W,Mark,710,,AI MA RF,,7/7/2021 6:35,PRDLD1,Adult,,2021,,PRDLD1,639,,20,7/7/2021 6:35,ECKENBERG J,CPUD,LADDER,HAND,25,,,,,,,,,,1-Mar,,,,Passed,Male,Maiden,,,,2.2,W,W,W
9,3DD.003DA28914,Wild Summer Steelhead,32W,Mark,690,,AI FE RF,,7/8/2021 6:31,PRDLD1,Adult,,2021,,PRDLD1,639,,20,7/8/2021 6:31,ECKENBERG J,CPUD,LADDER,HAND,25,,,,,,,,,,1-Apr,,,,Passed,Female,Maiden,,,,R.2,W,W,W
10,3DD.003DA2890E,Wild Summer Steelhead,32W,Mark,690,,AI MA RF,,7/8/2021 8:54,PRDLD1,Adult,,2021,,PRDLD1,639,,20,7/8/2021 8:54,ECKENBERG J,CPUD,LADDER,HAND,25,,,,,,,,,,2-Apr,,,,Passed,Male,Maiden,,,,R.2,W,W,W
11,3DD.003DA28961,Hat. Summer Steelhead,32H,Mark,700,,AD FE RF,,7/8/2021 9:47,PRDLD1,Adult,,2021,,PRDLD1,639,,20,7/8/2021 9:47,ECKENBERG J,CPUD,LADDER,HAND,25,,,,,,,,,,3-Apr,X,,,Passed,Female,Maiden,X,,,1.2,H,H,H
12,3DD.003DA28933,Hat. Summer Steelhead,32H,Mark,730,,AD FE RF,,7/8/2021 9:52,PRDLD1,Adult,,2021,,PRDLD1,639,,20,7/8/2021 9:52,ECKENBERG J,CPUD,LADDER,HAND,25,,,,,,,,,,4-Apr,X,,,Passed,Female,Maiden,X,,,H2.2,H,H,H
13,3DD.003DA2895B,Hat. Summer Steelhead,32H,Mark,700,,AD MA RF,,7/8/2021 11:41,PRDLD1,Adult,,2021,,PRDLD1,639,,20,7/8/2021 11:41,ECKENBERG J,CPUD,LADDER,HAND,25,,,,,,,,,,5-Apr,X,,,Passed,Male,Maiden,X,,,1.2,H,H,H
14,3DD.003DA28970,Hat. Summer Steelhead,32H,Mark,760,,AD FE RF,,7/8/2021 12:47,PRDLD1,Adult,,2021,,PRDLD1,639,,20,7/8/2021 12:47,ECKENBERG J,CPUD,LADDER,HAND,25,,,,,,,,,,6-Apr,X,,,Passed,Female,Maiden,X,,,1.2,H,H,H
15,3DD.003DA28962,Hat. Summer Steelhead,32H,Mark,760,,AD FE RF,,7/8/2021 13:06,PRDLD1,Adult,,2021,,PRDLD1,639,,20,7/8/2021 13:06,ECKENBERG J,CPUD,LADDER,HAND,25,,,,,,,,,,1-May,X,,,Passed,Female,Maiden,,,,R.2,H,H,H
16,3DD.003DA28915,Hat. Summer Steelhead,32H,Mark,700,,AD FE RF,,7/8/2021 13:29,PRDLD1,Adult,,2021,,PRDLD1,639,,20,7/8/2021 13:29,ECKENBERG J,CPUD,LADDER,HAND,25,,,,,,,,,,2-May,X,,,Passed,Female,Maiden,X,,,1.2,H,H,H
17,3DD.003DA28928,Hat. Summer Steelhead,32H,Mark,730,,AD CW FE RF,,7/8/2021 13:50,PRDLD1,Adult,,2021,,PRDLD1,639,,20,7/8/2021 13:50,ECKENBERG J,CPUD,LADDER,HAND,25,,,,,,,,X,,3-May,X,,,Passed,Female,Maiden,X,,,1.2,H,H,H
18,3DD.003DA2892B,Wild Summer Steelhead,32W,Mark,770,,AI FE RF,,7/12/2021 6:40,PRDLD1,Adult,,2021,,PRDLD1,639,,20,7/12/2021 6:40,ECKENBERG J,CPUD,LADDER,HAND,25,,,,,,,,,,1-Jun,,,,Passed,Female,Maiden,,,,3.2,W,W,W
19,3DD.003DA2891B,Hat. Summer Steelhead,32H,Mark,700,,AI FE RF,,7/12/2021 7:34,PRDLD1,Adult,,2021,,PRDLD1,639,,20,7/12/2021 7:34,ECKENBERG J,CPUD,LADDER,HAND,25,,,,,,,,,,2-Jun,,,,Passed,Female,Maiden,X,,,R.2,H,H,H
20,3DD.003DA2891D,Wild Summer Steelhead,32W,Mark,720,,AI FE RF,,7/12/2021 9:10,PRDLD1,Adult,,2021,,PRDLD1,639,,20,7/12/2021 9:10,ECKENBERG J,CPUD,LADDER,HAND,25,,,,,,,,,,3-Jun,,,,Passed,Female,Maiden,,,,R.1,W,W,W
21,3DD.003DA2895D,Hat. Summer Steelhead,32H,Mark,580,,AD FE RF,,7/14/2021 6:08,PRDLD1,Adult,,2021,,PRDLD1,639,,20,7/14/2021 6:08,ECKENBERG J,CPUD,LADDER,HAND,25,,,,,,,,,,1-Jul,X,,,Passed,Female,Maiden,X,,,1.1,H,H,H
22,3DD.003DA2894A,Hat. Summer Steelhead,32H,Mark,360,,AD FE RF,,7/14/2021 8:36,PRDLD1,Adult,,2021,,PRDLD1,639,,20,7/14/2021 8:36,ECKENBERG J,CPUD,LADDER,HAND,25,,,,,,,,,,2-Jul,X,,,Passed,Female,Maiden,,,,3,H,H,H
23,3DD.003DA28967,Wild Summer Steelhead,32W,Mark,790,,AI FE RF,,7/14/2021 12:00,PRDLD1,Adult,,2021,,PRDLD1,639,,20,7/14/2021 12:00,ECKENBERG J,CPUD,LADDER,HAND,25,,,,,,,,,,3-Jul,,,,Passed,Female,Maiden,,,,2.2,W,W,W
24,3DD.003DA28910,Hat. Summer Steelhead,32H,Mark,750,,AD MA RF,,7/14/2021 12:17,PRDLD1,Adult,,2021,,PRDLD1,639,,20,7/14/2021 12:17,ECKENBERG J,CPUD,LADDER,HAND,25,,,,,,,,,,4-Jul,X,,,Passed,Male,Maiden,X,,,1.2,H,H,H
25,3DD.003DA2894B,Hat. Summer Steelhead,32H,Mark,720,,AD FE RF,,7/15/2021 5:47,PRDLD1,Adult,,2021,,PRDLD1,639,,20,7/15/2021 5:47,ECKENBERG J,CPUD,LADDER,HAND,25,,,,,,,,,,1-Aug,X,,,Passed,Female,Maiden,X,SS,,1.2,H,H,H
26,3DD.003DA28930,Hat. Summer Steelhead,32H,Mark,700,,AD FE RF,,7/19/2021 6:34,PRDLD1,Adult,,2021,,PRDLD1,639,,20,7/19/2021 6:34,ECKENBERG J,CPUD,LADDER,HAND,25,,,,,,,,,,1-Sep,X,,,Passed,Female,Maiden,X,,,1.2,H,H,H
27,3DD.003DA2893C,Hat. Summer Steelhead,32H,Mark,700,,AD FE RF,Injury-Body,7/19/2021 8:17,PRDLD1,Adult,,2021,,PRDLD1,639,,20,7/19/2021 8:17,ECKENBERG J,CPUD,LADDER,HAND,25,,,,,,,,,,2-Sep,X,,,Passed,Female,Maiden,X,,,1.2,H,H,H
28,3DD.003DA28960,Wild Summer Steelhead,32W,Mark,520,,AI FE RF,body deformed,7/19/2021 8:22,PRDLD1,Adult,,2021,,PRDLD1,639,,20,7/19/2021 8:22,ECKENBERG J,CPUD,LADDER,HAND,25,,,,,,,,,,3-Sep,,,,Passed,Female,Maiden,,,,2.1,W,W,W
29,3DD.003DA2894F,Wild Summer Steelhead,32W,Mark,760,,AI MA RF,,7/19/2021 8:57,PRDLD1,Adult,,2021,,PRDLD1,639,,20,7/19/2021 8:57,ECKENBERG J,CPUD,LADDER,HAND,25,,,,,,,,,,4-Sep,,,,Passed,Male,Maiden,,SS,,2.2,W,W,W
30,3DD.003D431F78,Hat. Summer Steelhead,32H,Recapture,600,,AD CW FE RE RF,This is a recap!!!!,7/19/2021 9:09,PRDLD1,Adult,,2021,,PRDLD1,639,,20,7/19/2021 9:09,ECKENBERG J,CPUD,LADDER,,25,,,,,,,,X,,5-Sep,X,,,Passed,Female,Recapture,X,,,H2.1,H,H,H
31,3DD.003DA28924,Hat. Summer Steelhead,32H,Mark,690,,AD FE RF,,7/19/2021 9:35,PRDLD1,Adult,,2021,,PRDLD1,639,,20,7/19/2021 9:35,ECKENBERG J,CPUD,LADDER,HAND,25,,,,,,,,,,6-Sep,X,,,Passed,Female,Maiden,X,,,1.1,H,H,H
