Record#,PIT Tag,SRR Verbose,SRR Code,Event Type,Length,Weight,Conditional Comments,Text Comments,Event Date,Event Site,Life Stage,Brood Year,Migration Year,Spawn Year,Release Site,RKM Mask,RKM Ext,Release Temp,Release Date,Tagger,Organization,Capture Method,Mark Method,Mark Temp,Hold Temp,Raceway/Transect/Tank,Hatchery,Stock,Latitude,Longitude,Lat/Long Source,CWT-S,Second PIT Tag,Scale ID,Adipose Clip,Fin Clip,CWT-BODY,Release Status,Sex,Capture Status,Snubbed Dorsal,Injury,Talley Count,Scale Age,Scale Origin ,Final Origin,Field Origin
1,3DD.003DA286EF,Hat. Summer Steelhead,32H,Mark,660,,AD FE RF, ,7/10/2020 7:00,PRDLD1,Adult,,2020,,PRDLD1,639,,25,7/10/2020 16:00,ECKENBERG J,CPUD,LADDER,HAND,25,,,,,,,,,,001-2,,,,,Female,,,,,1.2,H,H,H
2,3DD.003DA286FB,Wild Summer Steelhead,32W,Mark,670,,AI FE RF,SS,7/10/2020 7:16,PRDLD1,Adult,,2020,,PRDLD1,639,,25,7/10/2020 16:00,ECKENBERG J,CPUD,LADDER,HAND,20,,,,,,,,,,001-1,,,,,Female,,,,,W1.2,W,W,W
3,3DD.003DA28704,Wild Summer Steelhead,32W,Mark,670,,AI FE RF,,7/10/2020 7:24,PRDLD1,Adult,,2020,,PRDLD1,639,,25,7/10/2020 16:00,ECKENBERG J,CPUD,LADDER,HAND,20,,,,,,,,,,001-3,,,,,Female,,,,,2.2,W,W,W
4,3DD.003DA286E3,Hat. Summer Steelhead,32H,Mark,730,,AI FE RF,,7/10/2020 7:26,PRDLD1,Adult,,2020,,PRDLD1,639,,25,7/10/2020 16:00,ECKENBERG J,CPUD,LADDER,HAND,20,,,,,,,,,,001-4,,,,,Female,,,,,1.2,H,H,H
5,3DD.003DA286E2,Wild Summer Steelhead,32W,Mark,680,,AI MA RF,,7/10/2020 7:28,PRDLD1,Adult,,2020,,PRDLD1,639,,25,7/10/2020 16:00,ECKENBERG J,CPUD,LADDER,HAND,25,,,,,,,,,,002-1,,,,,Male,,,,,2.2,W,W,W
6,3DD.003DA286D7,Wild Summer Steelhead,32W,Mark,740,,AI MA RF,LW,7/10/2020 7:30,PRDLD1,Adult,,2020,,PRDLD1,639,,25,7/10/2020 16:00,ECKENBERG J,CPUD,LADDER,HAND,24,,,,,,,,,,002-2,,,,,Male,,,,,2.2,W,W,W
7,3DD.003DA286DB,Wild Summer Steelhead,32W,Mark,670,,AI FE RF,,7/10/2020 7:32,PRDLD1,Adult,,2020,,PRDLD1,639,,25,7/10/2020 16:00,ECKENBERG J,CPUD,LADDER,HAND,20,,,,,,,,,,002-3,,,,,Female,,,,,2.2,W,W,W
8,3DD.003DA286CD,Hat. Summer Steelhead,32H,Mark,730,,AI FE RF,,7/10/2020 7:33,PRDLD1,Adult,,2020,,PRDLD1,639,,25,7/10/2020 16:00,ECKENBERG J,CPUD,LADDER,HAND,25,,,,,,,,,,002-4,,,,,Female,,,,,1.2,H,H,H
9,3DD.003DA286BD,Wild Summer Steelhead,32W,Mark,650,,AI FE RF,GN,7/10/2020 7:34,PRDLD1,Adult,,2020,,PRDLD1,639,,25,7/10/2020 16:00,ECKENBERG J,CPUD,LADDER,HAND,25,,,,,,,,,,002-5,,,,,Female,,,,,2.2,W,W,W
10,3DD.003DA28705,Wild Summer Steelhead,32W,Mark,700,,AI FE RF,,7/10/2020 7:35,PRDLD1,Adult,,2020,,PRDLD1,639,,25,7/10/2020 16:00,ECKENBERG J,CPUD,LADDER,HAND,25,,,,,,,,,,003-1,,,,,Female,,,,,2.2,W,W,W
11,3DD.0077A5C161,Hat. Summer Steelhead,32H,Recapture,700,,AI CW FE RE RF, This is a recap!!!!,7/10/2020 7:37,PRDLD1,Adult,,2020,,PRDLD1,639,,25,7/10/2020 16:00,ECKENBERG J,CPUD,LADDER,,25,,,,,,,,,,003-2,,,,,Female,,,,,1.2,H,H,H
12,3DD.003DA28708,Wild Summer Steelhead,32W,Mark,730,,AI FE RF,,7/10/2020 7:38,PRDLD1,Adult,,2020,,PRDLD1,639,,25,7/10/2020 16:00,ECKENBERG J,CPUD,LADDER,HAND,25,,,,,,,,,,003-3,,,,,Female,,,,,2.2,W,W,W
13,3DD.003DA286F9,Wild Summer Steelhead,32W,Mark,710,,AI MA RF,,7/10/2020 7:39,PRDLD1,Adult,,2020,,PRDLD1,639,,25,7/10/2020 16:00,ECKENBERG J,CPUD,LADDER,HAND,25,,,,,,,,,,003-4,,,,,Male,,,,,2.2,W,W,W
14,3DD.003DA286F5,Wild Summer Steelhead,32W,Mark,750,,AI FE RF,,7/10/2020 7:40,PRDLD1,Adult,,2020,,PRDLD1,639,,25,7/10/2020 16:00,ECKENBERG J,CPUD,LADDER,HAND,25,,,,,,,,,,003-5,,,,,Female,,,,,2.2,W,W,W
15,3DD.003DA28709,Hat. Summer Steelhead,32H,Mark,750,,AD FE RF,,7/10/2020 8:00,PRDLD1,Adult,,2020,,PRDLD1,639,,25,7/10/2020 16:00,ECKENBERG J,CPUD,LADDER,HAND,25,,,,,,,,,,004-4,,,,,Female,,,,,1.2,H,H,H
16,3DD.003DA286F1,Wild Summer Steelhead,32W,Mark,720,,AI MA RF,SS,7/10/2020 8:00,PRDLD1,Adult,,2020,,PRDLD1,639,,25,7/10/2020 16:00,ECKENBERG J,CPUD,LADDER,HAND,25,,,,,,,,,,004-5,,,,,Male,,,,,2.2,W,W,W
17,3DD.003DA286C0,Wild Summer Steelhead,32W,Mark,820,,AI MA RF,HW,7/10/2020 8:00,PRDLD1,Adult,,2020,,PRDLD1,639,,25,7/10/2020 16:00,ECKENBERG J,CPUD,LADDER,HAND,25,,,,,,,,,,004-6,,,,,Male,,,,,R.2,,W,W
18,3DD.003DA286D3,Wild Summer Steelhead,32W,Mark,690,,AI FE RF,,7/10/2020 8:00,PRDLD1,Adult,,2020,,PRDLD1,639,,25,7/13/2020 16:00,ECKENBERG J,CPUD,LADDER,HAND,25,,,,,,,,,,005-1,,,,,Female,,,,,2.2,W,W,W
19,3DD.003DA28701,Wild Summer Steelhead,32W,Mark,780,,AI FE RF,SS,7/10/2020 8:00,PRDLD1,Adult,,2020,,PRDLD1,639,,25,7/13/2020 16:00,ECKENBERG J,CPUD,LADDER,HAND,25,,,,,,,,,,005-2,,,,,Female,,,,,2.2,W,W,W
20,3DD.003DA286EB,Wild Summer Steelhead,32W,Mark,770,,AI MA RF,,7/10/2020 8:00,PRDLD1,Adult,,2020,,PRDLD1,639,,25,7/13/2020 16:00,ECKENBERG J,CPUD,LADDER,HAND,25,,,,,,,,,,005-3,,,,,Male,,,,,2.2,W,W,W
21,3DD.003DA28711,Hat. Summer Steelhead,32H,Mark,770,,AD MA RF,,7/10/2020 8:00,PRDLD1,Adult,,2020,,PRDLD1,639,,25,7/10/2020 16:00,ECKENBERG J,CPUD,LADDER,HAND,25,,,,,,,,,,005-4,,,,,Male,,,,,1.2,H,H,H
22,3DD.003DA286D6,Wild Summer Steelhead,32W,Mark,740,,AI FE,,7/10/2020 8:00,PRDLD1,Adult,,2020,,PRDLD1,639,,25,7/10/2020 16:00,ECKENBERG J,CPUD,LADDER,HAND,25,,,,,,,,,,005-5,,,,,Female,,,,,2.2,W,W,W
23,3DD.003DA286D9,Hat. Summer Steelhead,32H,Mark,660,,AD FE RF,,7/10/2020 8:00,PRDLD1,Adult,,2020,,PRDLD1,639,,25,7/10/2020 16:00,ECKENBERG J,CPUD,LADDER,HAND,25,,,,,,,,,,005-6,,,,,Female,,,,,1.2,H,H,H
24,3DD.003DA286BF,Hat. Summer Steelhead,32H,Mark,700,,AI CW FE RF,,7/10/2020 8:00,PRDLD1,Adult,,2020,,PRDLD1,639,,25,7/13/2020 16:00,ECKENBERG J,CPUD,LADDER,HAND,25,,,,,,,,,,006-1,,,,,Female,,,,,1.2,H,H,H
25,3DD.003DA2870B,Wild Summer Steelhead,32W,Mark,690,,AI FE RF,,7/10/2020 8:00,PRDLD1,Adult,,2020,,PRDLD1,639,,25,7/13/2020 16:00,ECKENBERG J,CPUD,LADDER,HAND,25,,,,,,,,,,006-2,,,,,Female,,,,,1.2,H,H,W
26,3DD.003DA286EE,Wild Summer Steelhead,32W,Mark,770,,AI FE RF,,7/10/2020 8:00,PRDLD1,Adult,,2020,,PRDLD1,639,,25,7/13/2020 16:00,ECKENBERG J,CPUD,LADDER,HAND,25,,,,,,,,,,006-3,,,,,Female,,,,,2.2,W,W,W
27,3DD.003DA286C9,Hat. Summer Steelhead,32H,Mark,700,,AI FE RF,,7/10/2020 8:00,PRDLD1,Adult,,2020,,PRDLD1,639,,25,7/15/2020 16:00,ECKENBERG J,CPUD,LADDER,HAND,25,,,,,,,,,,007-1,,,,,Female,,,,,1.2,H,H,H
28,3DD.003DA286B6,Wild Summer Steelhead,32W,Mark,810,,AI FE RF,,7/10/2020 8:00,PRDLD1,Adult,,2020,,PRDLD1,639,,25,7/15/2020 16:00,ECKENBERG J,CPUD,LADDER,HAND,25,,,,,,,,,,007-2,,,,,Female,,,,,3.2,W,W,W
29,3DD.003DA28714,Hat. Summer Steelhead,32H,Mark,690,,AD MA RF,RP,7/10/2020 8:00,PRDLD1,Adult,,2020,,PRDLD1,639,,25,7/15/2020 16:00,ECKENBERG J,CPUD,LADDER,HAND,25,,,,,,,,,,007-3,,,,,Male,,,,,1.2,H,H,H
30,3DD.003DA286F3,Hat. Summer Steelhead,32H,Mark,780,,AD FE RF,,7/10/2020 8:00,PRDLD1,Adult,,2020,,PRDLD1,639,,25,7/15/2020 16:00,ECKENBERG J,CPUD,LADDER,HAND,25,,,,,,,,,,007-4,,,,,Female,,,,,1.3,H,H,H
31,3DD.003DA28700,Wild Summer Steelhead,32W,Mark,730,,AI FE RF,,7/10/2020 8:00,PRDLD1,Adult,,2020,,PRDLD1,639,,25,7/15/2020 16:00,ECKENBERG J,CPUD,LADDER,HAND,25,,,,,,,,,,007-5,,,,,Female,,,,,2.2,W,W,W
32,3DD.003DA286F7,Hat. Summer Steelhead,32H,Mark,650,,AD MA RF RV,,7/10/2020 8:00,PRDLD1,Adult,,2020,,PRDLD1,639,,25,7/15/2020 16:00,ECKENBERG J,CPUD,LADDER,HAND,25,,,,,,,,,,007-6,,,,,Male,,,,,1.2,H,H,H
33,3DD.003DA28706,Wild Summer Steelhead,32W,Mark,680,,AI MA RF,,7/10/2020 8:00,PRDLD1,Adult,,2020,,PRDLD1,639,,25,7/15/2020 16:00,ECKENBERG J,CPUD,LADDER,HAND,25,,,,,,,,,,008-1,,,,,Male,,,,,2.2,W,W,W
34,3DD.003DA286D4,Wild Summer Steelhead,32W,Mark,840,,AI MA RF,,7/10/2020 8:00,PRDLD1,Adult,,2020,,PRDLD1,639,,25,7/15/2020 16:00,ECKENBERG J,CPUD,LADDER,HAND,25,,,,,,,,,,008-2,,,,,Male,,,,,2.2,W,W,W
35,3DD.003DA286DF,Wild Summer Steelhead,32W,Mark,790,,AI FE RF,,7/10/2020 8:00,PRDLD1,Adult,,2020,,PRDLD1,639,,25,7/15/2020 16:00,ECKENBERG J,CPUD,LADDER,HAND,25,,,,,,,,,,008-3,,,,,Female,,,,,R.2,,W,W
36,3DD.003DA286E0,Hat. Summer Steelhead,32H,Mark,700,,AD MA RF RV,,7/10/2020 8:00,PRDLD1,Adult,,2020,,PRDLD1,639,,25,7/16/2020 16:00,ECKENBERG J,CPUD,LADDER,HAND,25,,,,,,,,,,009-1,,,,,Male,,,,,1.2,H,H,H
37,3DD.003DA286C7,Hat. Summer Steelhead,32H,Mark,720,,AD MA RF,,7/10/2020 8:00,PRDLD1,Adult,,2020,,PRDLD1,639,,25,7/16/2020 16:00,ECKENBERG J,CPUD,LADDER,HAND,25,,,,,,,,,,009-2,,,,,Male,,,,,1.2,H,H,H
38,3DD.003DA286FA,Wild Summer Steelhead,32W,Mark,780,,AI MA RF,GN,7/10/2020 8:00,PRDLD1,Adult,,2020,,PRDLD1,639,,25,7/16/2020 16:00,ECKENBERG J,CPUD,LADDER,HAND,25,,,,,,,,,,009-3,,,,,Male,,,,,2.2,W,W,W
39,3DD.003DA286B5,Hat. Summer Steelhead,32H,Mark,720,,AD FE RF RV,,7/10/2020 8:00,PRDLD1,Adult,,2020,,PRDLD1,639,,25,7/16/2020 16:00,ECKENBERG J,CPUD,LADDER,HAND,25,,,,,,,,,,009-4,,,,,Female,,,,,1.2,H,H,H
40,3DD.003DA28717,Hat. Summer Steelhead,32H,Mark,750,,AI CW MA RF,,7/10/2020 8:00,PRDLD1,Adult,,2020,,PRDLD1,639,,25,7/16/2020 16:00,ECKENBERG J,CPUD,LADDER,HAND,25,,,,,,,,,,009-5,,,,,Male,,,,,1.2,H,H,H
41,3DD.003DA286E5,Wild Summer Steelhead,32W,Mark,750,,AI FE RF,,7/10/2020 8:00,PRDLD1,Adult,,2020,,PRDLD1,639,,25,7/16/2020 16:00,ECKENBERG J,CPUD,LADDER,HAND,25,,,,,,,,,,009-6,,,,,Female,,,,,R.2,,W,W
42,3DD.003DA2870D,Wild Summer Steelhead,32W,Mark,730,,AI FE RF,SS,7/10/2020 8:00,PRDLD1,Adult,,2020,,PRDLD1,639,,25,7/16/2020 16:00,ECKENBERG J,CPUD,LADDER,HAND,25,,,,,,,,,,010-1,,,,,Female,,,,,2.2,W,W,W
43,3DD.003DA286F4,Wild Summer Steelhead,32W,Mark,720,,AI FE RF,,7/10/2020 8:00,PRDLD1,Adult,,2020,,PRDLD1,639,,25,7/16/2020 16:00,ECKENBERG J,CPUD,LADDER,HAND,25,,,,,,,,,,010-2,,,,,Female,,,,,2.2,W,W,W
44,3DD.003DA286B7,Wild Summer Steelhead,32W,Mark,660,,AI MA RF,,7/10/2020 8:00,PRDLD1,Adult,,2020,,PRDLD1,639,,25,7/16/2020 16:00,ECKENBERG J,CPUD,LADDER,HAND,25,,,,,,,,,,010-3,,,,,Male,,,,,2.2,W,W,W
45,3DD.003DA286CA,Wild Summer Steelhead,32W,Mark,660,,AI MA RF,GN,7/10/2020 8:00,PRDLD1,Adult,,2020,,PRDLD1,639,,25,7/16/2020 16:00,ECKENBERG J,CPUD,LADDER,HAND,25,,,,,,,,,,010-4,,,,,Male,,,,,2.2,W,W,W
46,3DD.003DA286BE,Wild Summer Steelhead,32W,Mark,700,,AI FE RF,HW,7/10/2020 8:00,PRDLD1,Adult,,2020,,PRDLD1,639,,25,7/16/2020 16:00,ECKENBERG J,CPUD,LADDER,HAND,25,,,,,,,,,,010-5,,,,,Female,,,,,R.2,,W,W
47,3DD.003DA286C3,Wild Summer Steelhead,32W,Mark,700,,AI FE RF,,7/10/2020 8:00,PRDLD1,Adult,,2020,,PRDLD1,639,,25,7/16/2020 16:00,ECKENBERG J,CPUD,LADDER,HAND,25,,,,,,,,,,010-6,,,,,Female,,,,,2.2,W,W,W
48,3DD.003DA286BC,Hat. Summer Steelhead,32H,Mark,730,,AD FE RF,,7/10/2020 8:00,PRDLD1,Adult,,2020,,PRDLD1,639,,25,7/16/2020 16:00,ECKENBERG J,CPUD,LADDER,HAND,25,,,,,,,,,,011-1,,,,,Female,,,,,1.2,H,H,H
49,3DD.003DA28710,Wild Summer Steelhead,32W,Mark,710,,AI FE RF,,7/10/2020 8:00,PRDLD1,Adult,,2020,,PRDLD1,639,,25,7/16/2020 16:00,ECKENBERG J,CPUD,LADDER,HAND,25,,,,,,,,,,011-2,,,,,Female,,,,,2.2,W,W,W
50,3DD.003DA2870C,Hat. Summer Steelhead,32H,Mark,720,,AI CW FE RF,SS,7/10/2020 8:00,PRDLD1,Adult,,2020,,PRDLD1,639,,25,7/20/2020 16:00,ECKENBERG J,CPUD,LADDER,HAND,25,,,,,,,,,,012-2,,,,,Female,,,,,H2.2,H,H,H
51,3DD.003DA286F6,Hat. Summer Steelhead,32H,Mark,730,,AD MA RF,SS,7/10/2020 8:00,PRDLD1,Adult,,2020,,PRDLD1,639,,25,7/20/2020 16:00,ECKENBERG J,CPUD,LADDER,HAND,25,,,,,,,,,,012-3,,,,,Male,,,,,1.2,H,H,H
52,3DD.003DA286EC,Hat. Summer Steelhead,32H,Mark,640,,AD FE RF,,7/10/2020 8:00,PRDLD1,Adult,,2020,,PRDLD1,639,,25,7/20/2020 16:00,ECKENBERG J,CPUD,LADDER,HAND,25,,,,,,,,,,012-4,,,,,Female,,,,,1.2,H,H,H
53,3DD.003DA286CE,Hat. Summer Steelhead,32H,Mark,650,,AD MA RF,,7/10/2020 8:00,PRDLD1,Adult,,2020,,PRDLD1,639,,25,7/20/2020 16:00,ECKENBERG J,CPUD,LADDER,HAND,25,,,,,,,,,,012-5,,,,,Male,,,,,1.2,H,H,H
54,3DD.003DA286E7,Hat. Summer Steelhead,32H,Mark,720,,AD FE RF,GN,7/10/2020 8:00,PRDLD1,Adult,,2020,,PRDLD1,639,,25,7/20/2020 16:00,ECKENBERG J,CPUD,LADDER,HAND,25,,,,,,,,,,012-6,,,,,Female,,,,,1.2,H,H,H
55,3DD.003DA286B8,Hat. Summer Steelhead,32H,Mark,720,,AD MA RF RV, SS,7/10/2020 8:00,PRDLD1,Adult,,2020,,PRDLD1,639,,25,7/20/2020 16:00,ECKENBERG J,CPUD,LADDER,HAND,25,,,,,,,,,,013-1,,,,,Male,,,,,1.2,H,H,H
56,3DD.003DA286E6,Hat. Summer Steelhead,32H,Mark,660,,AD FE RF RV,,7/10/2020 8:00,PRDLD1,Adult,,2020,,PRDLD1,639,,25,7/20/2020 16:00,ECKENBERG J,CPUD,LADDER,HAND,25,,,,,,,,,,013-2,,,,,Female,,,,,1.2,H,H,H
57,3DD.003DA286FF,Wild Summer Steelhead,32W,Mark,740,,AI MA RF,,7/10/2020 8:00,PRDLD1,Adult,,2020,,PRDLD1,639,,25,7/20/2020 16:00,ECKENBERG J,CPUD,LADDER,HAND,25,,,,,,,,,,012-1,,,,,Male,,,,,2.2,W,W,W
58,3DD.003DA286FE,Wild Summer Steelhead,32W,Mark,780,,AI FE RF,,7/10/2020 8:00,PRDLD1,Adult,,2020,,PRDLD1,639,,25,7/20/2020 16:00,ECKENBERG J,CPUD,LADDER,HAND,25,,,,,,,,,,013-3,,,,,Female,,,,,2.2,W,W,W
59,3DD.003DA28702,Wild Summer Steelhead,32W,Mark,690,,AI MA RF,,7/10/2020 8:00,PRDLD1,Adult,,2020,,PRDLD1,639,,25,7/20/2020 16:00,ECKENBERG J,CPUD,LADDER,HAND,25,,,,,,,,,,013-4,,,,,Male,,,,,W1.2,W,W,W
60,3DD.003DA286C1,Wild Summer Steelhead,32W,Mark,680,,AI MA RF,,7/10/2020 8:00,PRDLD1,Adult,,2020,,PRDLD1,639,,25,7/20/2020 16:00,ECKENBERG J,CPUD,LADDER,HAND,25,,,,,,,,,,013-5,,,,,Male,,,,,2.2,W,W,W
61,3DD.003DA286F0,Hat. Summer Steelhead,32H,Mark,750,,AD FE RF,SS,7/10/2020 8:00,PRDLD1,Adult,,2020,,PRDLD1,639,,25,7/20/2020 16:00,ECKENBERG J,CPUD,LADDER,HAND,25,,,,,,,,,,013-6,,,,,Female,,,,,1.2,H,H,H
62,3DD.0077A65F6B,Hat. Summer Steelhead,32H,Recapture,670,,AI CW FE RE RF,This is a recap!!!!  SS,7/10/2020 8:00,PRDLD1,Adult,,2020,,PRDLD1,639,,25,7/20/2020 16:00,ECKENBERG J,CPUD,LADDER,NONE,25,,,,,,,,,,014-1,,,,,Female,,,,,1.2,H,H,H
63,3DD.003DA286E8,Wild Summer Steelhead,32W,Mark,690,,AI FE RF,SS,7/10/2020 8:00,PRDLD1,Adult,,2020,,PRDLD1,639,,25,7/20/2020 16:00,ECKENBERG J,CPUD,LADDER,HAND,25,,,,,,,,,,014-2,,,,,Female,,,,,2.2,W,W,W
64,3DD.003DA286E9,Hat. Summer Steelhead,32H,Mark,710,,AI CW FE RF,,7/10/2020 8:00,PRDLD1,Adult,,2020,,PRDLD1,639,,25,7/20/2020 16:00,ECKENBERG J,CPUD,LADDER,HAND,25,,,,,,,,,,014-3,,,,,Female,,,,,1.2,H,H,H
65,3DD.003DA286D2,Hat. Summer Steelhead,32H,Mark,800,,AI MA RF,GN,7/10/2020 8:00,PRDLD1,Adult,,2020,,PRDLD1,639,,25,7/20/2020 16:00,ECKENBERG J,CPUD,LADDER,HAND,25,,,,,,,,,,014-4,,,,,Male,,,,,1.2,H,H,H
66,3DD.003DA28716,Hat. Summer Steelhead,32H,Mark,650,,AI MA RF, GN,7/10/2020 8:00,PRDLD1,Adult,,2020,,PRDLD1,639,,25,7/20/2020 16:00,ECKENBERG J,CPUD,LADDER,HAND,25,,,,,,,,,,014-5,,,,,Male,,,,,1.2,H,H,H
67,3DD.003DA286C2,Hat. Summer Steelhead,32H,Mark,710,,AD MA RF,,7/10/2020 8:00,PRDLD1,Adult,,2020,,PRDLD1,639,,25,7/20/2020 16:00,ECKENBERG J,CPUD,LADDER,HAND,25,,,,,,,,,,014-6,,,,,Male,,,,,1.2,H,H,H
68,3DD.003D53AD6C,Hat. Summer Steelhead,32H,Recapture,750,,AD MA RE RF,This is a recap!!!!  HW,7/10/2020 8:00,PRDLD1,Adult,,2020,,PRDLD1,639,,25,7/20/2020 16:00,ECKENBERG J,CPUD,LADDER,NONE,25,,,,,,,,,,015-1,,,,,Male,,,,,1.2,H,H,H
69,3DD.003DA286CC,Wild Summer Steelhead,32W,Mark,660,,AI MA RF,,7/10/2020 8:00,PRDLD1,Adult,,2020,,PRDLD1,639,,25,7/20/2020 16:00,ECKENBERG J,CPUD,LADDER,HAND,25,,,,,,,,,,015-2,,,,,Male,,,,,2.2,W,W,W
70,3DD.003DA286BA,Hat. Summer Steelhead,32H,Mark,680,,AD FE RF,SS,7/10/2020 8:00,PRDLD1,Adult,,2020,,PRDLD1,639,,25,7/20/2020 16:00,ECKENBERG J,CPUD,LADDER,HAND,25,,,,,,,,,,015-3,,,,,Female,,,,,1.2,H,H,H
71,3DD.003DA28707,Hat. Summer Steelhead,32H,Mark,680,,AD FE RF RV,,7/10/2020 8:00,PRDLD1,Adult,,2020,,PRDLD1,639,,25,7/20/2020 16:00,ECKENBERG J,CPUD,LADDER,HAND,25,,,,,,,,,,015-4,,,,,Female,,,,,1.2,H,H,H
72,3DD.003DA286ED,Wild Summer Steelhead,32W,Mark,720,,AI FE RF,SS,7/10/2020 8:00,PRDLD1,Adult,,2020,,PRDLD1,639,,25,7/20/2020 16:00,ECKENBERG J,CPUD,LADDER,HAND,25,,,,,,,,,,015-5,,,,,Female,,,,,2.2,W,W,W
73,3DD.003DA2870F,Hat. Summer Steelhead,32H,Mark,680,,AD MA RF,,7/10/2020 8:00,PRDLD1,Adult,,2020,,PRDLD1,639,,25,7/20/2020 16:00,ECKENBERG J,CPUD,LADDER,HAND,25,,,,,,,,,,015-6,,,,,Male,,,,,1.2,H,H,H
