Record#,PIT Tag,SRR Verbose,SRR Code,Event Type,Length,Weight,Conditional Comments,Text Comments,Event Date,Event Site,Life Stage,Brood Year,Migration Year,Spawn Year,Release Site,RKM Mask,RKM Ext,Release Temp,Release Date,Tagger,Organization,Capture Method,Mark Method,Mark Temp,Hold Temp,Raceway/Transect/Tank,Hatchery,Stock,Latitude,Longitude,Lat/Long Source,CWT - Snout,Second PIT Tag,Scale ID,Adipose Clip,Fin Clip,CWT - Body,Release Status,Sex,Capture Status,Snubbed Dorsal,Injury,Tally Count,Scale Age,Scale Origin,Final Origin,Field Origin
1,3DD.0077A02E47,Wild Summer Steelhead,32W,Mark,660,,FE RF,,7/8/2019 8:41,PRDLD1,Adult,,2019,2020,PRDLD1,639,,20,7/8/2019 8:41,ECKENBERG J,WDFW,LADDER,HAND,20,,,,,,,,,,001-01,,,,Passed,Female,Maiden,,,,2.2,W,W,W
2,3DD.00779FFFC2,Hat. Summer Steelhead,32H,Mark,650,,CW FE RF,,7/8/2019 9:26,PRDLD1,Adult,,2019,2020,PRDLD1,639,,20,7/8/2019 9:26,ECKENBERG J,WDFW,LADDER,HAND,20,,,,,,,,X,,001-02,,,,Passed,Female,Maiden,X,,,1.2,H,H,H
3,3DD.0077A0F194,Wild Summer Steelhead,32W,Mark,580,,FE RF,,7/8/2019 10:24,PRDLD1,Adult,,2019,2020,PRDLD1,639,,20,7/8/2019 10:24,ECKENBERG J,WDFW,LADDER,HAND,20,,,,,,,,,,001-03,,,,Passed,Female,Maiden,,,,R.1,W,W,W
4,3DD.0077A006CC,Wild Summer Steelhead,32W,Mark,700,,FE RF,,7/8/2019 10:35,PRDLD1,Adult,,2019,2020,PRDLD1,639,,20,7/8/2019 10:35,ECKENBERG J,WDFW,LADDER,HAND,20,,,,,,,,,,001-04,,,,Passed,Female,Maiden,,,,R.2,W,W,W
5,3DD.0077A1211D,Wild Summer Steelhead,32W,Mark,730,,FE RF,,7/8/2019 13:13,PRDLD1,Adult,,2019,2020,PRDLD1,639,,20,7/8/2019 13:13,ECKENBERG J,WDFW,LADDER,HAND,20,,,,,,,,,,001-05,,,,Passed,Female,Maiden,,,,2.2,W,W,W
6,3DD.0077A0FBC6,Hat. Summer Steelhead,32H,Mark,670,,AD FE RF,,7/8/2019 13:57,PRDLD1,Adult,,2019,2020,PRDLD1,639,,20,7/8/2019 13:57,ECKENBERG J,WDFW,LADDER,HAND,20,,,,,,,,,,001-06,X,,,Passed,Female,Maiden,,,,1.2,H,H,H
7,3DD.0077A09FC3,Wild Summer Steelhead,32W,Mark,750,,FE RF,GN,7/10/2019 7:41,PRDLD1,Adult,,2019,2020,PRDLD1,639,,20,7/10/2019 7:41,ECKENBERG J,WDFW,LADDER,HAND,20,,,,,,,,,,002-01,,,,Passed,Female,Maiden,,Body,,2.2,W,W,W
8,3DD.0077A0AD36,Wild Summer Steelhead,32W,Mark,690,,FE RF,,7/10/2019 9:11,PRDLD1,Adult,,2019,2020,PRDLD1,639,,20,7/10/2019 9:11,ECKENBERG J,WDFW,LADDER,HAND,20,,,,,,,,,,002-02,,,,Passed,Female,Maiden,,,,2.2,W,W,W
9,3DD.0077A11558,Wild Summer Steelhead,32W,Mark,660,,FE RF,,7/10/2019 10:13,PRDLD1,Adult,,2019,2020,PRDLD1,639,,20,7/10/2019 10:13,ECKENBERG J,WDFW,LADDER,HAND,20,,,,,,,,,,002-03,,,,Passed,Female,Maiden,,,,R.2,W,W,W
10,3DD.0077A09FBB,Hat. Summer Steelhead,32H,Mark,700,,AD FE RF,,7/12/2019 7:33,PRDLD1,Adult,,2019,2020,PRDLD1,639,,20,7/12/2019 7:33,ECKENBERG J,WDFW,LADDER,HAND,20,,,,,,,,,,003-01,X,,,Passed,Female,Maiden,,,,1.2,H,H,H
