year,PriestRapids,Wanapum,RockIsland,RockyReach,Wells,Tumwater,POM_RockIsland,POM_RockyReach,POM_Tumwater,POM_Wells,diff_RockIsland,diff_RockyReach,diff_Tumwater,diff_Wells,perc_diff_RockIsland,perc_diff_RockyReach,perc_diff_Tumwater,perc_diff_Wells,in_CI_RockIsland,in_CI_RockyReach,in_CI_Tumwater,in_CI_Wells
2011,47147,42691,41079,32781,24737,2359,48115.45106225344,46613.60624535999,26538.33621473379,42678.74186338195,968.4510622534435,-533.393754640012,-20608.66378526621,-4468.258136618053,0.02054109619389237,-0.011313418767684307,-0.43711506109118736,-0.09477290467300259,TRUE,TRUE,FALSE,FALSE
2012,37946,29278,34404,27790,21724,3329,42823.41032003428,41933.34618315303,47140.90997080593,36887.104115639435,4877.41032003428,3987.3461831530294,9194.90997080593,-1058.895884360565,0.1285355589530986,0.10507948619493568,0.2423156583251444,-0.02790533611870988,FALSE,FALSE,FALSE,TRUE
2013,32151,27689,26786,21573,16899,3504,34435.71247363687,34325.394899033236,35715.335149504186,30282.531973174337,2284.7124736368714,2174.3948990332356,3564.335149504186,-1868.4680268256634,0.07106194126580422,0.06763070819051462,0.1108623417468877,-0.05811539382369641,FALSE,FALSE,TRUE,FALSE
2014,34695,12208,26436,19631,14893,2831,37055.451237869136,33837.5855869947,40173.203657847516,27884.333766396823,2360.451237869136,-857.4144130053028,5478.203657847516,-6810.666233603177,0.06803433456893317,-0.024712910016005268,0.15789605585379785,-0.19630108758043455,FALSE,TRUE,TRUE,FALSE
2015,33939,14128,28802,21232,16756,3047,42869.295390503285,40011.76619689129,34201.83222419023,35140.816542407,8930.295390503285,6072.766196891287,262.83222419022786,1201.816542407003,0.2631278290610591,0.17893179518816957,0.007744253637120359,0.03541107700306441,FALSE,FALSE,TRUE,TRUE
2016,20778,19942,21085,16510,13950,1945,26103.487388329842,23712.665636142978,30712.38930586598,20973.44563817322,5325.487388329842,2934.6656361429777,9934.389305865981,195.44563817321978,0.2563041384315065,0.141239081535421,0.4781205749285774,0.009406373961556443,FALSE,FALSE,FALSE,TRUE
2017,12279,10805,12388,9627,8540,1032,16797.890638402983,14513.892488705804,27285.749617361565,13854.315059451288,4518.890638402983,2234.8924887058038,15006.749617361565,1575.315059451288,0.3680178058802006,0.18200932394379052,1.2221475378582594,0.12829343264527146,FALSE,FALSE,FALSE,FALSE
2018,10690,9347,10435,8103,7634,974,12761.792380433162,11565.804749800931,12865.00123588823,11862.908143229019,2071.792380433162,875.804749800931,2175.0012358882304,1172.9081432290186,0.19380658376362603,0.08192747893366988,0.20346129428327694,0.10972012565285487,FALSE,FALSE,TRUE,FALSE
2019,8809,8144,9526,7450,6627,700,12793.923632936661,11025.506916191178,30149.25448830365,13384.71348361218,3984.9236329366613,2216.506916191178,21340.25448830365,4575.71348361218,0.4523695803083961,0.2516184488808239,2.422551309831269,0.5194361997516381,FALSE,FALSE,FALSE,FALSE
2020,10406,9946,11035,8565,7105,985,14119.251191367919,12716.226640755538,26352.848264944016,11891.720874357137,3713.251191367919,2310.226640755538,15946.848264944016,1485.7208743571373,0.35683751598769164,0.2220090948256331,1.5324666793142432,0.14277540595398205,FALSE,FALSE,FALSE,FALSE
