TagID,LastObs,BranchNum,Group,AssignSpawnSite,AssignSpawnNode,TagPath,record_id,BroodYear,Year,tag_loc,Species,TrapDate,Sex,Origin,ForkLength,Age,FinalAge,AdClip,CWT
3DD.003BC68194,2020-05-05T00:31:08Z,9,Okanogan,TNK,TNK,"PRA, RIA, RRF, OKLB0, TNK",20128,BY20,2020,PIT Tag,ST,2019-09-27T13:03:00Z,M,H,560,1.1,2,NA,SN
3DD.003BC721E8,2020-04-12T00:42:37Z,9,Okanogan,OMK,OMKA0,"PRA, RIA, RRF, WEA, OMKB0, OMKA0, OMKB0",19840,BY20,2020,PIT Tag,ST,2019-09-05T12:52:00Z,M,H,740,1.2,3,NA,BD
3DD.003BD03849,2019-07-31T13:30:40Z,9,Methow,WEA,WEA,"PRA, RIA, RRF, WEA",19542,BY20,2020,PIT Tag,ST,2019-07-24T14:37:00Z,F,W,720,2.2,4,NA,NA
3DD.003BDF0347,2020-05-24T11:16:53Z,9,Wenatchee,PES,PESA0,"PRA, RIA, LWEB0, LWEA0, LWEB0, LWEA0, PESB0, PESA0, PESB0, PESA0",20135,BY20,2020,PIT Tag,ST,2019-09-27T14:14:00Z,M,W,780,1.2,3,NA,NA
3DD.003BE12374,2020-03-23T01:57:09Z,9,Methow,MRC,MRCB0,"PRA, RIA, RRF, WEA, LMRB0, LMRA0, MRCB0",20060,BY20,2020,PIT Tag,ST,2019-09-25T07:51:00Z,M,H,770,1.2,3,AD,SN
3DD.003BE1417C,2020-03-12T09:42:40Z,9,Methow,WEA,WEA,"PRA, RIA, RRF, WEA",20249,BY20,2020,PIT Tag,ST,2019-10-16T07:40:00Z,F,H,700,1.2,3,AD,SN
3DD.003BE1627B,2019-08-30T21:00:54Z,9,Methow,WEA,WEA,"PRA, RIA, RRF, WEA",19715,BY20,2020,PIT Tag,ST,2019-08-21T13:29:00Z,F,H,660,1.2,3,AD,SN
3DD.003BE36168,2020-04-09T08:03:42Z,9,Okanogan,OMK,OMKA0,"PRA, RIA, RRF, WEA, OMKB0, OMKA0, OMKB0, OMKA0",20172,BY20,2020,PIT Tag,ST,2019-10-01T10:30:00Z,F,H,650,1.2,3,NA,SN
3DD.003BE3E78A,2019-09-22T18:01:41Z,9,Methow,WEA,WEA,"PRA, RIA, RRF, WEA",19912,BY20,2020,PIT Tag,ST,2019-09-13T13:08:00Z,F,H,710,1.2,3,AD,SN
3DD.003BE4344A,2020-04-19T03:52:40Z,9,Methow,MRC,MRCB0,"PRA, RIA, RRF, WEA, LMRB0, LMRA0, MRCB0",20166,BY20,2020,PIT Tag,ST,2019-09-30T15:29:00Z,F,H,680,1.2,3,AD,NA
3DD.003BE50157,2020-04-16T13:57:11Z,9,Okanogan,OMK,OMKB0,"PRA, RIA, RRF, WEA, OKLB0, OMKB0",19811,BY20,2020,PIT Tag,ST,2019-09-04T12:56:00Z,M,H,690,1.2,3,NA,SN
3DD.003BE5FCBF,2019-10-09T03:08:24Z,9,Methow,WEA,WEA,"PRA, RIA, RRF, WEA",20079,BY20,2020,PIT Tag,ST,2019-09-25T12:55:00Z,F,H,740,1.2,3,AD,NA
3DD.003BE67817,2020-05-06T11:45:11Z,9,Okanogan,NMC,NMCA0,"PRA, RIA, RRF, WEA, OKLB0, ZSLB0, ZSLA0, ZSLB0, NMCB0, NMCA0, NMCB0, NMCA0, NMCB0",20030,BY20,2020,PIT Tag,ST,2019-09-23T09:16:00Z,M,H,620,1.1,2,AD,SN
3DD.003BFD140F,2019-10-02T07:36:02Z,9,Methow,WEA,WEA,"PRA, RIA, RRF, WEA",20025,BY20,2020,PIT Tag,ST,2019-09-23T08:16:00Z,F,H,720,1.2,3,AD,NA
3DD.003C0447A2,2020-04-10T08:02:59Z,7,BelowPriest,RSH,RSHA0,"PRA, RSHB0, RSHA0, RSHB0, RSHA0",19916,BY20,2020,PIT Tag,ST,2019-09-13T13:48:00Z,M,H,610,1.1,2,AD,SN
3DD.003C0868BD,2020-05-14T09:53:56Z,9,Entiat,WEH,WEHA0,"PRA, RIA, RRF, WEHA0, WEHB0",20063,BY20,2020,PIT Tag,ST,2019-09-25T08:36:00Z,M,H,580,1.1,2,AD,NA
3DD.003D364905,2020-04-30T12:23:25Z,9,Okanogan,ANT,ANTA0,"PRA, RIA, RRF, WEA, ANTB0, ANTA0, ANTB0",20219,BY20,2020,PIT Tag,ST,2019-10-09T08:05:00Z,M,W,540,R.1,NA,NA,NA
3DD.003D364AB5,2020-04-23T22:41:05Z,9,Methow,CRU,CRUA0,"PRA, RIA, RRF, WEA, LMRB0, LMRA0, MRCB0, CRWB0, CRWA0, CRUB0, CRUA0, CRUB0",20175,BY20,2020,PIT Tag,ST,2019-10-01T11:22:00Z,F,W,690,2.2,4,NA,NA
3DD.003D364BA8,2020-04-30T23:03:16Z,9,Okanogan,TON,TON,"PRA, RIA, RRF, WEA, OKLB0, ZSLB0, ZSLA0, TON",20044,BY20,2020,PIT Tag,ST,2019-09-23T12:42:00Z,F,W,540,R.1,NA,NA,NA
3DD.003D364BED,2019-10-09T14:05:50Z,9,Methow,WEA,WEA,"PRA, RIA, RRF, WEA",20174,BY20,2020,PIT Tag,ST,2019-10-01T11:00:00Z,F,H,580,1.1,2,NA,NA
3DD.007749E44E,2019-08-29T05:59:56Z,9,Entiat,RRF,RRF,"PRA, RIA, RRF",19612,BY20,2020,PIT Tag,ST,2019-08-02T15:03:00Z,F,W,670,2.2,4,NA,NA
3DD.00776E5FCE,2020-04-27T13:20:58Z,9,Wenatchee,CHU,CHUA0,"PRA, RIA, LWEB0, TUM, CHLA0, CHUB0, CHUA0",19884,BY20,2020,PIT Tag,ST,2019-09-11T09:32:00Z,F,W,610,3.1,4,NA,NA
3DD.007776EC74,2019-10-07T14:56:55Z,9,Methow,WEA,WEA,"PRA, RIA, RRF, WEA",20101,BY20,2020,PIT Tag,ST,2019-09-27T08:21:00Z,F,H,630,1.2,3,AD,SN
3DD.00777EB0D1,2019-11-04T15:24:55Z,6,BelowPriest,PRO,PROB0,"PRA, PROB0",19589,BY20,2020,PIT Tag,ST,2019-07-31T14:53:00Z,F,W,680,2.1,3,NA,NA
3DD.007781F0CA,2019-08-30T14:00:13Z,9,Wenatchee,TUF,TUM,"PRA, RIA, LWEB0, LWEA0, TUM",19703,BY20,2020,PIT Tag,ST,2019-08-21T09:07:00Z,F,W,730,2.2,4,NA,NA
3DD.0077840F9D,2020-03-24T00:38:28Z,9,Entiat,MAD,MADA0,"PRA, RIA, RRF, ENLB0, ENLA0, MADB0, MADA0, MADB0, MADA0, MADB0, MADA0, MADB0, MADB0, MADA0",19804,BY20,2020,PIT Tag,ST,2019-09-04T11:47:00Z,M,W,710,2.2,4,NA,NA
3DD.00778E0685,2020-04-23T13:46:09Z,9,Entiat,MAD,MADA0,"PRA, RIA, RRF, ENLB0, MADB0, MADA0",19701,BY20,2020,PIT Tag,ST,2019-08-21T08:06:00Z,F,W,580,R.1,NA,NA,NA
3DD.00778EC3E4,2020-05-14T11:27:41Z,9,Methow,WFC,WFC,"PRA, RIA, RRF, WEA, LMRA0, WFC, MRWB0, WFC",19817,BY20,2020,PIT Tag,ST,2019-09-04T14:04:00Z,M,W,610,2.1,3,NA,NA
3DD.00779F5320,2020-04-09T20:43:38Z,9,Entiat,ENF,ENFA0,"PRA, RIA, RRF, ENLB0, ENLA0, ENAB0, ENAA0, ENFA0, ENLA0",19511,BY20,2020,PIT Tag,ST,2019-07-19T09:13:00Z,F,W,710,2.2,4,NA,NA
3DD.00779F5329,2020-03-27T22:48:31Z,9,Methow,MRW,MRWB0,"PRA, RIA, RRF, WEA, LMRA0, MRCB0, MRWB0",19721,BY20,2020,PIT Tag,ST,2019-08-22T07:51:00Z,M,H,750,1.2,3,AD,NA
3DD.00779F5BEF,2019-09-19T05:48:48Z,9,Methow,WEA,WEA,"PRA, RIA, RRF, WEA",19777,BY20,2020,PIT Tag,ST,2019-09-03T09:23:00Z,F,H,750,1.2,3,AD,NA
3DD.00779F672F,2020-04-15T12:58:42Z,9,Wenatchee,LWN,LWNA0,"PRA, RIA, LWEB0, LWEA0, TUM, LWNA0",19755,BY20,2020,PIT Tag,ST,2019-08-28T10:46:00Z,M,W,610,2.1,3,NA,NA
3DD.00779F67CD,2019-09-08T11:37:17Z,9,Wenatchee,RIA,RIA,"PRA, RIA",19805,BY20,2020,PIT Tag,ST,2019-09-04T12:05:00Z,M,W,580,2.1,3,NA,NA
3DD.00779F73D4,2019-08-28T11:02:05Z,NA,NA,PRDLD1,PRA,PRA,19754,BY20,2020,PIT Tag,ST,2019-08-28T10:45:00Z,M,H,560,1.1,2,AD,NA
3DD.00779F73E0,2020-04-12T11:26:06Z,9,Okanogan,OMK,OMKA0,"PRA, RIA, RRF, WEA, OKLB0, OKLA0, OMKB0, OMKA0, OMKB0, OMKA0",19571,BY20,2020,PIT Tag,ST,2019-07-29T14:44:00Z,M,W,820,2.2,4,NA,NA
3DD.00779F81A5,2020-03-19T20:55:02Z,9,Wenatchee,CHL,CHLA0,"PRA, RIA, LWEA0, TUM, CHLB0, CHLA0, CHLB0, CHLA0, CHLB0, CHLA0",19515,BY20,2020,PIT Tag,ST,2019-07-19T12:38:00Z,F,H,720,1.2,3,NA,SN
3DD.00779F9848,2019-11-16T08:33:50Z,9,Wenatchee,TUF,TUM,"PRA, RIA, LWEB0, LWEA0, TUM",19724,BY20,2020,PIT Tag,ST,2019-08-22T09:05:00Z,F,W,720,2.2,4,NA,NA
3DD.00779FA62E,2019-11-19T14:20:00Z,9,Wenatchee,LWE,LWEA0,"PRA, RIA, LWEB0, LWEA0",19733,BY20,2020,PIT Tag,ST,2019-08-22T14:26:00Z,M,W,570,2.1,3,NA,NA
3DD.00779FB483,2020-03-27T23:45:12Z,9,Methow,MRC,MRCB0,"PRA, RIA, RRF, WEA, LMRA0, MRCB0",19673,BY20,2020,PIT Tag,ST,2019-08-15T12:53:00Z,F,W,740,2.2,4,NA,NA
3DD.00779FB4A5,2019-09-15T09:36:06Z,9,Wenatchee,TUF,TUM,"PRA, RIA, LWEB0, LWEA0, TUM",19766,BY20,2020,PIT Tag,ST,2019-08-30T12:20:00Z,F,W,590,3.1,4,NA,NA
3DD.00779FB8FD,2020-04-11T01:05:51Z,9,Methow,MRW,MRWA0,"PRA, RIA, RRF, WEA, LMRB0, LMRA0, MRCB0, MRWA0",19954,BY20,2020,PIT Tag,ST,2019-09-18T11:26:00Z,F,W,710,2.2,4,NA,NA
3DD.00779FC255,2019-11-11T15:47:49Z,9,Wenatchee,TUF,TUM,"PRA, RIA, LWEB0, LWEA0, TUM",19691,BY20,2020,PIT Tag,ST,2019-08-19T10:50:00Z,F,H,690,1.2,3,NA,SN
3DD.00779FC274,2020-05-20T11:59:06Z,9,Methow,WFC,WFC,"PRA, RIA, RRF, WEA, MRCB0, MRWB0, MRWA0, MRWB0, WFC",19678,BY20,2020,PIT Tag,ST,2019-08-16T06:54:00Z,M,W,560,3.1,4,NA,NA
3DD.00779FC27A,2020-06-02T13:41:45Z,9,Methow,WFC,WFC,"PRA, RIA, RRF, WEA, WFC",19731,BY20,2020,PIT Tag,ST,2019-08-22T13:36:00Z,F,W,570,R.1,NA,NA,NA
3DD.00779FC289,2019-09-19T00:25:53Z,9,Methow,LMR,LMRA0,"PRA, RIA, RRF, WEA, LMRB0, LMRA0, LMRB0, LMRA0",19760,BY20,2020,PIT Tag,ST,2019-08-28T12:50:00Z,F,H,530,1.1,2,AD,NA
3DD.00779FCE97,2020-03-24T06:53:16Z,5,BelowPriest,LMA,ICHA0,"PRA, ICHB0, ICHA0",19768,BY20,2020,PIT Tag,ST,2019-08-30T14:35:00Z,F,H,580,R.1,NA,AD,SN
3DD.00779FCF59,2020-03-21T17:43:54Z,9,Wenatchee,NAU,NAUA0,"PRA, RIA, LWEA0, TUM, UWE, NALB0, NAUB0, NAUA0, NAUB0, NAUA0",19525,BY20,2020,PIT Tag,ST,2019-07-22T10:41:00Z,F,W,720,2.2,4,NA,NA
3DD.00779FE318,2019-08-21T13:24:21Z,9,Methow,WEA,WEA,"PRA, RIA, RRF, WEA",19600,BY20,2020,PIT Tag,ST,2019-08-02T10:27:00Z,F,H,750,1.2,3,AD,NA
3DD.00779FE4C5,2020-05-04T04:38:32Z,9,Methow,MSH,METHB0,"PRA, RIA, RRF, WEA, LMRB0, LMRA0, LMRB0, LMRA0, MRCB0, METHB0",20005,BY20,2020,PIT Tag,ST,2019-09-20T10:54:00Z,M,H,590,1.1,2,AD,NA
3DD.00779FEFB5,2020-04-19T13:16:42Z,9,Wenatchee,ICM,ICMB0,"PRA, RIA, ICLB0, ICLA0, ICLB0, ICLA0, ICLB0, ICLA0, ICMB0",19602,BY20,2020,PIT Tag,ST,2019-08-02T11:29:00Z,F,H,690,1.2,3,NA,NA
3DD.00779FEFB7,2019-09-06T17:53:09Z,9,Methow,WEA,WEA,"PRA, RIA, RRF, WEA",19751,BY20,2020,PIT Tag,ST,2019-08-28T09:31:00Z,F,H,560,1.1,2,AD,NA
3DD.00779FF27A,2019-11-19T12:26:44Z,6,BelowPriest,PRO,PROB0,"PRA, PROB0",19495,BY20,2020,PIT Tag,ST,2019-07-12T13:06:00Z,F,W,700,2.2,4,NA,NA
3DD.00779FF366,2019-09-29T04:54:01Z,9,Methow,WEA,WEA,"PRA, RIA, RRF, WEA",19921,BY20,2020,PIT Tag,ST,2019-09-13T15:26:00Z,M,H,520,1.1,2,AD,NA
3DD.00779FF401,2019-08-01T11:55:53Z,9,Methow,WEA,WEA,"PRA, RIA, RRF, WEA",19554,BY20,2020,PIT Tag,ST,2019-07-25T12:31:00Z,M,W,670,2.1,3,NA,NA
3DD.00779FF611,2020-04-19T17:56:22Z,9,Wenatchee,PEU,PEUA0,"PRA, RIA, LWEA0, PESB0, PESA0, PEUB0, PEUA0",19718,BY20,2020,PIT Tag,ST,2019-08-21T14:48:00Z,M,W,580,2.1,3,NA,NA
3DD.00779FF645,2020-04-11T02:38:20Z,9,Okanogan,ZSL,ZSLA0,"PRA, RIA, RRF, WEA, OKLB0, ZSLB0, ZSLA0",19739,BY20,2020,PIT Tag,ST,2019-08-26T09:31:00Z,F,H,670,1.2,3,AD,NA
3DD.00779FF657,2020-04-25T15:36:12Z,9,Methow,WFC,WFC,"PRA, RIA, RRF, WEA, LMRB0, LMRA0, MRCB0, WFC",19981,BY20,2020,PIT Tag,ST,2019-09-18T14:53:00Z,M,H,570,1.1,2,AD,NA
3DD.00779FFAD6,2020-04-10T21:00:07Z,9,Wenatchee,MCL,MCLA0,"PRA, RIA, LWEA0, MCLA0",19560,BY20,2020,PIT Tag,ST,2019-07-25T14:33:00Z,M,W,620,2.1,3,NA,NA
3DD.00779FFB6A,2019-08-30T14:22:13Z,NA,NA,PRDLD1,PRA,PRA,19767,BY20,2020,PIT Tag,ST,2019-08-30T12:23:00Z,M,W,610,R.1,NA,NA,NA
3DD.00779FFF6C,2019-09-29T16:01:44Z,9,Methow,WEA,WEA,"PRA, RIA, RRF, WEA",19997,BY20,2020,PIT Tag,ST,2019-09-20T09:14:00Z,F,H,630,1.2,3,AD,NA
3DD.00779FFFB4,2020-05-03T06:36:17Z,9,Okanogan,TON,TON,"PRA, RIA, RRF, WEA, OKLB0, OKLA0, ZSLB0, ZSLA0, TON",19592,BY20,2020,PIT Tag,ST,2019-08-02T08:09:00Z,F,H,680,1.2,3,AD,SN
3DD.00779FFFC2,2019-07-15T10:00:00Z,9,Wenatchee,DRY,LWEA0,"PRA, RIA, LWEA0",19482,BY20,2020,PIT Tag,ST,2019-07-08T09:26:00Z,F,H,650,1.2,3,NA,SN
3DD.0077A00137,2019-08-27T15:59:25Z,9,Methow,WEA,WEA,"PRA, RIA, RRF, WEA",19579,BY20,2020,PIT Tag,ST,2019-07-31T11:20:00Z,F,H,720,1.2,3,AD,NA
3DD.0077A0013B,2020-05-06T21:50:06Z,9,Okanogan,SA0,SA0A0,"PRA, RIA, RRF, WEA, OKLB0, SA1B0, SA0B0, SA0A0, SA0B0, SA1B0",19667,BY20,2020,PIT Tag,ST,2019-08-15T09:18:00Z,M,W,560,2.1,3,NA,NA
3DD.0077A0043E,2020-03-29T21:30:39Z,9,Methow,MRC,MRCB0,"PRA, RIA, RRF, WEA, LMRB0, LMRA0, MRCB0",19790,BY20,2020,PIT Tag,ST,2019-09-03T14:46:00Z,F,W,640,2.1,3,NA,NA
3DD.0077A005A9,2020-04-12T00:42:32Z,9,Wenatchee,UWE,UWE,"PRA, RIA, LWEB0, LWEA0, TUM, UWE",19499,BY20,2020,PIT Tag,ST,2019-07-15T07:13:00Z,F,W,730,2.2,4,NA,NA
3DD.0077A005AE,2019-09-01T12:32:44Z,9,Methow,WEA,WEA,"PRA, RIA, RRF, WEA",19697,BY20,2020,PIT Tag,ST,2019-08-19T14:10:00Z,M,H,600,1.1,2,AD,NA
